chapitre	chapter
iv	iv
–	-
le	the
village	village
dans	in
l’arbre	the tree
a	has
grande	great
porte	door
s’ouvrit	opened
largement	widely
par	by
devant	before
et	and
laissa	let
la	the
place	place
à	to
d’épais	thick
rideaux	curtains
rouges	red
comme	as
un	a
théâ-	théâ-
tre	tre
derrière	behind
les	the
tentures	hangings
une	a
immense	huge
table	table
de	of
banquet	banquet
au	the
bout	end
grand	great
trône	throne
À	To
droite	right
du	the
fauteuil	chair
sur	on
lequel	which
était	was
assise	sitting
oie	goose
blanche	white
vêtue	dressed
d’un	a
habit	dress
militaire	military
en	in
fait	fact
d’oie	goose
il	it
s’agissait	was
réalité	reality
jars	jars
ce	this
que	that
marie	mary
ignorait	ignored
maire	mayor
se	is
leva	rose
son	its
souleva	raised
interminable	endless
man-	man-
teau	castle
coquelicot	poppy
frappa	hit
sol	soil
sceptre	sceptre
pour	for
pouvoir	power
descendre	down
l’unique	the unique
marche	walking
semblait	seemed
être	be
vieil	old
humain	human
peau	skin
fripée	wrinkled
grise	grey
paraissait	seemed
tant	as
si	if
bien	well
millénaire	millennium
ne	do
pouvait	could
lui	him
attribuer	assign
âge	age
grand-père	grand-father
ressemblait	looked like
enfant	child
comparaison	comparison
heureusement	fortunately
sa	its
barbe	beard
cachait	hid
visage	face
sinon	otherwise
aurait	would
certainement	certainly
pris	taken
fuite	leak
l’homme	the man
souriait	smiling
laissant	leaving
surgir	arise
longues	long
dents	teeth
striées	v-ribbed
usées	waste
bonzour	bonzour
dit	said
vieillard	old man
chevrotant	chevrotant
zozotant	zozotant
ze	ze
suis	am
haut	top
perché	perched
nous	we
t’attenten…	you attenten...
ddions	ddions
bégaye	stutters a
parfois	sometimes
chuchota	whispered
séverin	séverin
bonjour	hello
monsieur	mr.
poliment	politely
serrant	tightening
nounours	teddy bear
minou	kitty
mais	but
avait	had
aperçu	overview
quelque	some
chose	thing
dé-	de-
brouilla	brouilla
lâche	loose
car	because
elle	it
assez	enough
distraite	distracted
cocotte	casserole
dirigea	led
quant	as
vers	to
ces	these
peluches	lint
sem-	sem-
blaient	blaient
pas	not
très	very
obéissantes	obedient
monde	world
quelle	what
zoie	zoie
te	te
voir	see
enfin	finally
t’attendions	have been expecting you
depuis	since
long…	long...
temps	time
z’en	z in
avais	had
presque	almost
mal	evil
foie	liver
père	father
léon	leon
l’un	one
des	of
plus	more
vieux	old
assistants	wizards
noël	christmas
vermeilleux	vermeilleux
mit	mit
tousser	cough
puis	then
commença	started
trembler	shake
ensuite	then
tremblement	shake
remonta	came up
jusqu’à	up to
bras	arm
qui	that
tressaillit	flinched
aussi	also
ses	its
jambes	legs
trépidèrent	trépidèrent
faisant	making
bruit	noise
castagnettes	castanets
s’approcha	approached
homme	man
craignait	feared
qu’il	it
tombe	falls
l	the
-	-
40	40
t’inquiète	don't worry
fais	do
sport	sport
Ça	It
me	me
dérouille	removes rust
origan	oregano
venez	come
chers	dear
zamis	zamis
rezoignez-nous	rezoignez-we
buffet	buffet
allons	will
festoyer	merry
avec	with
nos	our
domestiques	domestic
gnomes	gnomes
effet	effect
serviteurs	servants
n’étaient	there were
esclaves	slaves
ils	they
pouvaient	could
librement	freely
profiter	enjoy
leur	their
propre	own
travail	work
plaça	plaça
côté	side
amis	friends
placèrent	placed
côtés	sides
posa	posa
main	hand
décharnée	gaunt
glacée	ice
celle	the
eut	had
chaud	hot
front	front
tête	head
qu’est-ce	what is this
je	I
là	there
faisais	did
dodo	dodo
ma	my
chambre	room
maintenant	now
ici	here
n’arrive	arrives
rappeler	remember
comment	how
arrivée	arrival
champ	field
n’as-tu	have you
reçu	received
tableau	table
papy	grandpa
m’a	me
apporté	brought
bizarre	weird
donné	given
moi	me
lumière	light
on	it
l’impression	printing
est	is
vivant	living
brrr	brrr
tremblant	tremblant
c’est	it is
ai	I
remis	given
tableau-porteur-viseur	table-wearer-viewer
ton	your
grand-	grand-
n’est	there is
méchant	nasty
gnome	gnome
arle-	arle-
quin	quin
vermeilles	scarlet
avons	have
besoin	need
cœur	heart
pur	pure
merveilleux	wonderful
sauver	save
notre	our
bon	good
entre	between
l’arlequin	the harlequin
devrait	should
y	there
avoir	have
guerre	war
monstre	monster
borne	terminal
espionner	spy
hibou	owl
venait	came
percher	perch
l’angle	the angle
seule	only
ouverture	opening
salle	room
jetait	cast
regards	looks
sombres	dark
travers	through
remarqua	noticed
qu’un	a
ramassé	picked up
énorme	huge
gâteau	cake
chantilly	chantilly
faufila	stalked
long	long
mur	wall
subitement	suddenly
projeta	projected
pâtisserie	pastry
l’oiseau	the bird
ainsi	as well
noyé	drowned
chuta	fell
piaillant	chirping
jusqu’au	until the
moins	less
s’exclama	exclaimed
rigolant	laughing
ouille	ouch
pensa	thought
présent	this
parvenu	managed
grimper	climb
marchait	walked
maladroitement	awkwardly
deux	two
pattes	legs
arrière	rear
dirigeait	led
récipient	container
quelques	a few
fées	fairy
miniatures	thumbnails
voletaient	voletaient
gra-	gra-
cieusement	cieusement
au-dessus	above
effectuaient	tailgating
petite	small
magie	magic
lumineuse	light
afin	in order
d’en	to
déguster	enjoy
contenu	content
filets	nets
miel	honey
glissaient	slide
fils	son
laine	wool
leurs	their
bouches	mouths
grandes	large
ouvertes	open
devenir	become
fou	crazy
chasser	hunt
griffes	claws
s’approprier	appropriate
l’intégralité	the entire
bol	bowl
après	after
quoi	what
crâne	skull
41	41
entra	entered
entièrement	fully
barbouilla	barbouilla
délice	delight
ventre	belly
gonfler	inflate
rond	round
celui	the
d’une	a
femme	woman
enceinte	pregnant
mon	my
ourson	teddy bear
tient	holds
sais	know
grave	serious
tourne	turns
n’a	did
plus…	more...
peur	fear
rien	nothing
même	even
gentilles	nice
fée	fairy
mécontente	unhappy
fit	fit
tour	tour
maugréant	grumbling
mélo-	potch-
die	die
incompréhensible	incomprehensible
adressa	addressed
geste	gesture
déguerpit	déguerpit
quel	what
avez-vous	have you
dehors	outside
zenfants	zenfants
zavons	zavons
tous	all
carte	card
vermeille	scarlet
soixante	sixty
ans	years
tu	you
sais…	know...
trop	too
jeune	young
savoir	know
combien	how
d’années	years
peuvent	can
vivre	live
j’ai	I
vu	seen
lutins	goblins
hobbit	hobbit
sylphides…	sylphs...
j’ignorais	I didn't know
gens	people
pays	country
normal	normal
adultes	adults
cessent	stop
sottement	foolishly
vénérer	worship
croire	believe
dieu	god
l’absolu	the absolute
serait	would be
ridicule	ridiculous
pourquoi	why
n’ont	have
yeux	eyes
apercevoir	see
quatre	four
cent	cent
vingt	twenty
pourraient	could
durer	last
davantage	more
