chapitre	chapter
37	37
la	the
prophétie	prophecy
perdue	lost
les	the
pieds	feet
d'harry	harry
frappèrent	beat
le	the
sol	soil
solide	solid
ses	its
genoux	knees
se	is
courbèrent	courbèrent
un	a
peu	little
et	and
tête	head
du	the
sorcier	sorcerer
doré	golden
tomba	fell
en	in
retentissant	resounding
sur	on
il	it
regarda	looked at
autour	around
de	of
lui	him
vit	lives
qu'il	it
était	was
arrivé	arrived
dans	in
bureau	office
dumbledore	dumbledore
tout	all
semblait	seemed
s'être	will be
réparé	repaired
seul	only
pendant	during
l'absence	the absence
directeur	director
délicats	delicate
instruments	instruments
d'argent	money
tenaient	held
une	a
fois	time
encore	yet
table	table
aux	the
tournés	shot
émettant	emitting
fumée	smoke
ronronnant	purring
sereinement	serenely
portraits	portraits
des	of
directeurs	directors
directrices	guidelines
faisaient	were
petit	small
somme	sum
leurs	their
cadres	frames
têtes	heads
paressant	lingering
fauteuils	chairs
ou	or
contre	against
bord	edge
images	images
harry	harry
par	by
fenêtre	window
y	there
avait	had
froide	cold
ligne	line
vert	green
pale	blade
à	to
l'horizon	the horizon
l'aube	dawn
approchait	approaching
silence	silence
calme	quiet
brisé	broken
seulement	only
occasionnels	casual
grognements	grunts
reniflements	sniffles
d'un	a
portrait	portrait
endormi	asleep
étaient	were
insupportable	unbearable
pour	for
si	if
alentours	around
pouvaient	could
avoir	have
reflété	reflected
sentiments	feelings
l'intérieur	inside
auraient	would
hurlé	screamed
douleur	pain
marcha	walked
beau	beautiful
clame	clamp
respirant	breathable
précipitamment	hurriedly
essayant	trying
ne	do
pas	not
penser	think
mais	but
devait	should
penser…	think about it...
n'y	there
d'issue…	outcome...
c'était	it was
sa	its
faute	fault
sirius	sirius
mort	death
entièrement	fully
n'avait	had
été	been
assez	enough
stupide	stupid
tomber	fall
piège	trap
voldemort	voldemort
s'il	if it
convaincu	convinced
que	that
ce	this
vu	seen
réel	real
ouvert	open
son	its
esprit	spirit
possibilité	possibility
comme	as
hermione	hermione
disait	said
pariait	betting
tendance	trend
jouer	play
au	the
héros…	hero...
pouvait	could
supporter…	bear...
terrible	terrible
vide	empty
voulait	wanted
ni	or
ressentir	feel
examiner	review
trou	hole
noir	black
où	where
d'où	where
disparu	gone
rester	stay
avec	with
grand	great
silencieux	silent
supportait	supported
pas-	not-
image	image
derrière	behind
ronfla	ronfla
très	very
bruyamment	loudly
voix	voice
dit	said
'ali…harry	'ali...harry
potter…'	potter...'
phinéas	phineas
nigellus	nigellus
bailla	bailla
longuement	long
étira	reached
bras	arm
surveillant	monitoring
yeux	eyes
roublards	misfits
étroits	close
'	'
qu'est	that is
qui	that
vous	you
amène	leads
ici	here
ces	these
heures	hours
matin	morning
finalement	finally
est	is
censé	supposed to
être	be
fermé	closed
tous	all
sauf	except
légitime	legitimate
a	has
t'il	there
envoyé	sent
oh	oh
me	me
dites	tell
pas…'	not...'
'un	'a
autre	other
message	message
mon	my
insignifiant	insignificant
fils	son
parler	talk
phineas	phineas
savait	knew
dire	say
haute	high
l'aurait	would have
rendu	rendering
définitif	final
absolu	absolute
irrémédiable	catastrophic
quelques	a few
remuaient	remuaient
maintenant	now
terreur	terror
d'être	to be
interrogé	interviewed
fit	fit
marcher	walk
grandes	large
enjambées	strides
travers	through
pièce	room
attraper	catch
marteau	hammer
porte	door
tourner	turn
emprisonné	imprisoned
j'espère	I hope
cela	this
veut	wants to
dire'	say'
corpulent	corpulent
nez	nose
rouge	red
suspendu	suspended
mur	wall
'que	'that
sera	will be
bientôt	soon
parmi	among
nous	we
tourna	turned
l'observait	the observed
intérêt	interest
acquiesça	nodded
tira	drew
poignée	handle
dos	back
elle	it
demeura	remained
inamovible	non-removable
bien	well
fut	was
ennuyeux	boring
sans	without
c'est	it is
vrai	true
s'installa	settled
chaise	chair
semblable	similar
trône	throne
laquelle	which
peint	painted
sourit	smiles
affablement	affable
'dumbledore	'dumbledore
opinion	opinion
toi	you
je	I
suis	am
tu	you
sais'	know'
agréablement	pleasantly
'oh	'oh
oui	yes
te	te
tient	holds
grande	great
estime	estimated
culpabilité	guilt
emplissant	filling
poitrine	chest
monstrueux	monstrous
imposant	imposing
parasite	parasite
tortillait	tortillait
déformait	deformed
présent	this
supporter	bear
lui-même	himself
encore…	still...
s'était	had
jamais	never
senti	felt
aussi	also
prisonnier	prisoner
propre	own
cœur	heart
corps	body
voulu	wanted
intensément	intensely
quelqu'un	someone
d'autre	on the other
n'importe	any
d'autre…	on the other...
cheminée	fireplace
jaillit	springs
flammes	flames
vertes	green
émeraudes	emeralds
faisant	making
sursauter	jump
loin	far
regardant	looking at
l'homme	the man
tournoyait	billowed
l'âtre	the hearth
forme	form
sortit	went out
feu	fire
sorciers	wizards
sorcières	witches
murs	walls
environnant	surrounding
réveillèrent	woke
brusquement	suddenly
nombre	number
d'entre	of
eux	them
lançant	launching
cris	cree
bienvenue	welcome
'merci'	'thank you,'
doucement	gently
d'abord	first
jusqu'au	until the
perchoir	perch
coté	side
retira	retired
poche	pocket
robes	dresses
laid	ugly
plumes	feathers
fawkes	fawkes
plaça	plaça
gentiment	kindly
plateau	tea
cendrées	ashy
poteau	post
adulte	adult
tenait	held
habituellement	usually
s'éloignant	away
bébé	baby
oiseau	bird
'tu	'you
seras	will be
heureux	happy
d'entendre	to hear
qu'aucun	no
tes	your
camarades	comrades
souffrira	will suffer
dommages	damage
durables	sustainable
cause	cause
événements	events
nuit'	night'
essaya	tried
'bien'	'well -'
aucun	no
rappelait	reminded
causé	caused
regardait	watched
directement	directly
expression	expression
soit	either
bienveillante	caring
plutôt	rather
qu'accusatrice	that accusatory
croiser	cross
regard	look
madame	mrs.
pomfrey	pomfrey
train	train
raccommoder	mend
monde'	world'
nymphadora	nymphadora
tonks	tonks
aura	will
peut	can
besoin	need
passer	pass
temps	time
st	st
mungo	mungo
semble	seems
qu'elle	it
va	will
rétablir	restore
contenta	contenta
faire	do
signe	sign
vers	to
tapis	carpet
devenait	became
plus	more
clair	clear
mesure	measurement
ciel	sky
dehors	outside
palissait	palissait
écoutaient	listened to
minutieusement	carefully
chaque	each
mot	word
demandant	asking
avaient	had
pourquoi	why
eu	had
blessés	injured
'je	'I
sais	know
ressens	feel
harry'	harry'
calmement	calmly
'non	'not
savez	know
pas'	not'
soudainement	suddenly
forte	strong
colère	anger
brûlante	hot
montant	amount
rien	nothing
propos	about
'vous	'you
voyez	see
sournoisement	slyly
'n'essayez	'do not try
comprendre	understand
élèves	students
ils	they
détestent	hate
ça	it
préfèrent	prefer
beaucoup	a lot
tragiquement	tragically
incompris	misunderstood
gorger	quench
d'auto	self
apitoiement	pity
cuire	cook
leur	their
–'	-'
'ca	ca
suffit	just
phinéas'	phineas'
détermination	determination
voir	see
stade	stage
quidditch	quidditch
cette	this
distance	distance
apparu	appeared
là	there
déguisé	disguised
chien	dog
hirsute	shaggy
pouvoir	power
jouer…	play...
probablement	probably
venu	come
bon	good
james	james
été…	been...
mandé…	mande...
'il	'it
honte	shame
'au	'
contraire…	otherwise...
fait	fact
puisses	can
façon	how
ta	your
force	force
sentit	felt
fureur	fury
trembler	shake
s'embrasant	if blazes
remplissant	filling
désir	desire
frapper	hit
mots	words
vides	empty
ma	my
tremblant	tremblant
n'avez	do
moindre	less
idée…	idea...
'qu'est	'that is
demanda	asked
trop	too
rage	rage
veux	want to
d'accord	agreement
'harry	'harry
souffrir	suffer
ainsi	as well
prouve	proves
es	es
toujours	always
homme	man
partie	part
ton	your
humanité	humanity
'alors	'then
etre	be
humain	human
hurla	screamed
attrapa	caught
délicat	delicate
instrument	instrument
tourbillonnants	whirling
jeta	threw
fracassa	smashed
centaine	hundred
petites	small
pièces	parts
plusieurs	several
laissèrent	left
échapper	escape
peur	fear
d'armando	to armando
dippet	dippet
'vraiment	'really
m'en	me
fiche	sheet
cria	cried
attrapant	catching
lunascope	lunascope
l'envoyant	the sending
'j'en	'I
ai	I
j'en	I
ca	ca
termine	ends
n'en	do
faire'	do'
envoya	sent
brisa	broke
roulèrent	rolled
toutes	all
directions	directions
as	as
quelque	some
chose	thing
effrayé	scared
fais	do
mouvement	movement
qu'harry	harry
arrête	stop
démolir	demolish
presque	almost
détachée	detached
'c'est	'it is
important	important
sens	meaning
allais	was going to
saigner	bleed
douleur'	pain'
'non'	'no'
fort	fort
crut	believed
sentir	feel
gorge	throat
déchirer	rip
seconde	second
voulut	wanted
précipiter	rush
briser	break
fracasser	sunder
vielle	old
apparence	appearance
secouer	shake
blesser	hurt
petite	small
l'horreur	the horror
si'	if'
perdu	lost
mère	mother
père	father
proche	close
parent	parent
ais	ais
important'	important'
'ici	'here
