chapitre	chapter
25	25
les	the
vues	views
de	of
la	the
gazette	gazette
le	the
fait	fact
que	that
harry	harry
potter	potter
sorte	so
avec	with
ginny	ginny
weasley	weasley
sembla	seemed
intéresser	interest
un	a
grand	great
nombre	number
personnes	people
plupart	most
d'entre	of
elles	they
étant	being
des	of
filles	girls
pourtant	yet
se	is
sentit	felt
nouvellement	newly
et	and
agréablement	pleasantly
imperméable	waterproof
aux	the
bavardages	chatter
au	the
cours	during
semaines	weeks
qui	that
suivirent	followed
après	after
tout	all
ça	it
faisait	was
changement	change
plutôt	rather
sympathique	friendly
d'entendre	to hear
parler	talk
lui	him
à	to
propos	about
quelque	some
chose	thing
rendait	made
heureux	happy
-	-
plus	more
qu'il	it
ne	do
pouvait	could
rappeler	remember
l'avoir	have
été	been
depuis	since
longtemps	for a long time
parce	because
avait	had
impliqué	involved
dans	in
d'affreuses	terrible
scènes	scenes
magie	magic
noire	black
"on	"
pourrait	could
penser	think
gens	people
ont	have
mieux	better
faire	do
autres	other
"	"
remarqua	noticed
assise	sitting
sur	on
sol	soil
salle	room
commune	common
contre	against
jambes	legs
lisant	reading
du	the
sorcier	sorcerer
trois	three
attaques	attacks
détraqueurs	détraqueurs
en	in
une	a
semaine	week
toute	any
clique	click
romilda	romilda
me	me
demande	request
s'il	if it
est	is
vrai	true
tu	you
as	as
hippogriffe	hippogriffe
tatoué	tattooed
travers	through
poitrine	chest
ron	ron
hermione	hermione
hurlèrent	screamed
rire	laugh
tous	all
deux	two
ignora	ignored
"que	"
leur	their
as-tu	have you
répondu	answered
"je	"I
ai	I
dit	said
c'était	it was
horntail	horntail
hongrois	Hungarian
répliqua	replied
tournant	turning
page	page
journal	journal
vide	empty
"c'est	"it is
beaucoup	a lot
macho	macho
"merci"	"thank you"
grimaça	smirked
"et	"and
"qu'il	"it
houppette	houppette
pygmée	pygmy
mais	but
je	I
savais	knew
pas	not
où	where
renfrogna	renfrogna
pendant	during
roulait	travelling
"attendez	"wait
dit-il	he said
échauffé	warmed up
vers	to
"ce	"this
n'est	there is
j'ai	I
donné	given
ma	my
permission	permission
signifie	means
peux	can
retirer…	remove...
"donner	"give
ta	your
railla	scoffed
"depuis	"since
quand	when
dois-tu	do you
donner	give
pour	for
quoi	what
soit	either
t'es	you're
valait	worth
michael	michael
ou	or
dean	dean
"ouais	"yeah
c'est	it is
comme	as
reconnu	recognized
contrecœur	reluctantly
seulement	only
aussi	also
commenceras	begin
bécoter	smooch
public	public
"'	"'
"tu	"you
es	es
hypocrite	hypocrite
dégoûtant	disgusting
disais-tu	you said
toi	you
lavande	lavender
enroulés	wrapped
partout	everywhere
ensembles	sets
paire	pair
d'anguilles	eel
tolérance	tolerance
devait	should
être	be
trop	too
mise	update
rude	rough
épreuve	test
alors	then
qu'ils	they
entraient	entered
mois	months
juin	June
temps	time
passaient	passed
ensemble	all
devenait	became
restreint	restricted
buses	nozzles
approchaient	approaching
elle	it
était	was
donc	so
forcée	forced
travailler	work
heures	hours
nuit	night
telle	such
soirée	evening
s'était	had
retiré	removed
bibliothèque	library
reposait	based
près	near
fenêtre	window
censé	supposed to
finir	finish
son	its
travail	work
d'herbologie	of herbal medicine
réalité	reality
repensait	repensait
l'heure	the time
particulièrement	particularly
plaisante	pleasant
passé	past
bas	the bottom
lac	lake
déjeuner	breakfast
laissa	let
tomber	fall
siège	seat
face	in the face of
regard	look
désagréable	unpleasant
visage	face
veux	want to
te	te
"À	"
quel	what
sujet	about
'	'
s'inquiéta	if worry
veille	eve
qu'hermione	as hermione
reprocher	blame
distraire	distract
dur	hard
ses	its
examens	reviews
"de	"
ce	this
prétendu	alleged
prince	prince
sang-mêlé	half-blood
"oh	"oh
non	not
encore	yet
gémit-il	moans-it
laisser	let
plaît	please
il	it
n'avait	had
osé	dared to
retourner	return
condition	condition
chercher	search
livre	book
performances	performance
potions	potions
souffraient	suffered
conséquences	consequences
(cependant	(however
slughorn	slughorn
approuvé	approved
par	by
joyeusement	happily
attribué	assigned
cela	this
malade	sick
d'amour)	of love)
sûr	course
rogue	rogue
abandonné	abandoned
l'espoir	hope
mettre	put
main	hand
déterminé	determined
tant	as
restait	remained
vive	cheers
laisse	leaves
fermement	firmly
"jusqu'à	"up to
m'aies	I've
écouté	listened to
maintenant	now
essayé	tried
d'en	to
découvrir	discover
peu	little
compte	account
cette	this
personne	person
passe-temps	hobbies
d'inventer	to invent
mauvais	bad
sorts	spells
n'était	there was
passe-temps…"	hobby..."
"lui	"
…	...
sait	knows
"nous	"we
savons	know
s'exclama	exclaimed
"un	"a
dont	which
joues	cheeks
devinrent	became
rouge	red
qu'elle	it
sortait	out
vieux	old
morceau	song
sa	its
poche	pocket
fit	fit
claquer	slam
table	table
devant	before
"regarder	"look
regarder	watch
l'image	the image
prit	took
papier	paper
partait	left
lambeaux	shreds
observa	watched
photographie	photography
animée	animated
jaunie	yellowed
l'âge	the age
pencha	bent
voir	see
montrait	showed
fille	girl
maigre	lean
d'environ	about
quinze	fifteen
ans	years
jolie	pretty
semblait	seemed
simultanément	simultaneously
colère	anger
maussade	gloomy
front	front
lourd	heavy
long	long
pâlot	pâlot
sous	under
on	it
lire	read
légende	legend
eileen	eileen
capitaine	captain
l'équipe	the team
poudlard	hogwarts
gobstones	gobstones
"alors	"then
demanda	asked
balayant	sweeping
courte	short
nouvelle	new
laquelle	which
appartenait	belonged
histoire	history
quelconque	any
concours	contest
entre	between
écoles	schools
"son	"his
nom	name
ils	they
regardèrent	looked
l'un	one
l'autre	the other
réalisa	realized
essayait	tried
expliquer	explain
éclata	broke out
"en	"
aucune	no
façon	how
"quoi	"what
penses	think
sang	blood
oh	oh
bien	well
pourquoi	why
n'y	there
a	has
aucun	no
monde	world
sorciers	wizards
surnom	nickname
titre	title
quelqu'un	someone
s'est	is
famille	family
écoute	listening
si	if
exemple	example
père	father
magicien	magician
"prince"	"prince"
mère	mother
moldu	muggle
ferait	would
"prince	"prince
mêlé	mixed
"oui	"yes
très	very
ingénieux	ingenious
ainsi	as well
peut-être	maybe
était-elle	was it
fière	proud
d'être	to be
moitié	half
d'un	a
"Écoute	"Listen
croire	believe
simplement	simply
y	there
"la	"
vérité	truth
qu'une	a
aurait	would
assez	enough
intelligente	smart
fâcha	angry
"comment	"how
pourrais-je	could I
tes	your
côtés	sides
cinq	five
piqué	stung
vif	bright
manière	way
écrit	written
sais	know
juste	just
garçon	boy
dire	say
n'a	did
rien	nothing
trouvé	found
prévisible	predictable
collection	collection
complète	complete
vieilles	old
là-bas	there
vais	'll
d'eileen	eileen
"bonne	"good
chance	chance
"j'essaierai	"I will try
premier	first
endroit	place
regarderai	watch
lança-t-elle	"she
atteignant	up to
trou	hole
portrait	portrait
sont	are
médailles	medals
récompenses	rewards
derrière	behind
moment	time
puis	then
continua	continued
contemplation	contemplation
ciel	sky
"elle	"it
jamais	never
supporté	supported
dépasse	exceeds
déclara	said
retournant	returning
copie	copy
mille	thousand
herbes	herbs
champignons	mushrooms
magiques	magic
suis	am
fou	crazy
vouloir	want to
récupérer	recover
"bien	"well
"c'était	"it was
génie	engineering
soit…	...
sans	without
bezoar…	bezoar...
geste	gesture
significatif	significant
doigt	finger
propre	own
gorge	throat
serais	would be
ici	here
discuter	discuss
dis	say
sortilège	hex
employé	employee
malefoy	malfoy
super…"	super..."
"moi	"me
"mais	"but
s'en	in
parfaitement	perfectly
remis	given
nouveau	new
pieds	feet
approuva	approved
conscience	consciousness
tortilla	tortilla
légèrement	slightly
même	even
grâce	thanks
rogue…	rogue...
retenue	withholding
samedi	Saturday
celui-ci	it
soupira	sighed
m'a	me
laissé	left
entendre	hear
n'avais	had
fini	finished
toutes	all
boîtes	boxes
fin	end
année	year
nous	we
continuerons	continue
l'année	the year
prochaine	next
trouvait	was
ces	these
retenus	selected
ennuyeux	boring
qu'elles	they
réduisaient	reduced
déjà	already
limité	limited
passer	pass
fréquemment	frequently
demandé	asked
savait	knew
gardait	kept
tard	later
chaque	each
fois	time
faisant	making
remarques	remarks
profitait	enjoying
beau	beautiful
diverses	various
occasions	opportunities
procurait	provided
fut	was
tiré	shot
amères	bitter
réflexions	reflections
l'arrivée	the arrival
jimmy	jimmy
peakes	peakes
tendit	handed
rouleau	roll
parchemin	parchment
‘merci	‘thank you
hé	hey
dumbledore	dumbledore
enthousiasme	enthusiasm
déroulant	drop down
lissant	smoothing
'il	'it
veut	wants to
j'aille	I go
bureau	office
vite	fast
fixement	staring
'mince	'thin
chuchota	whispered
'tu	'you
crois	believe
pas…	not...
n'aurait-il	would it
'le	'the
d'aller	go
sautant	jumping
précipita	rushed
hors	out
septième	seventh
corridor	corridor
croisant	crossing
peeves	peeves
apparu	appeared
direction	management
opposée	opposite
jeta	threw
craie	chalk
sort	fate
courant	current
caqueta	emitted a clucking
esquivant	dodging
défensif	defensive
disparu	gone
silence	silence
couloirs	corridors
complet	complete
minutes	minutes
avant	before
couvre-feu	curfew
retournés	returned
leurs	their
salles	rooms
communes	common
entendit	heard
cri	cry
perçant	piercing
choc	shock
s'arrêta	stopped
lancée	launched
écoutant	listening to
'comment	'how
défi	challenge
toi-	you-
aaaaargh	aaaaargh
bruit	noise
venait	came
couloir	hallway
baguette	wand
magique	magic
prête	ready
passa	spent
angle	angle
vit	lives
professeur	professor
trelawney	trelawney
étendu	extended
tête	head
couverte	covered
nombreux	many
châles	shawls
plusieurs	several
bouteilles	bottles
xérès	sherry
trouvant	finding
d'elle	it
l'une	one
cassée	broken
"professeur…"	"professor..."
dépêcha	dispatched
rejoindre	join
aida	aida
relever	meet
partie	part
colliers	necklaces
perles	beads
devenue	become
s'empêtrer	become entangled
lunettes	glasses
hoqueta	hoqueta
fort	fort
tapota	tapped
cheveux	hair
redressa	straightened
s'appuyant	based
bras	arm
s'est-il	is there
produit	product
fais	do
demander	ask
cria-t-elle	she cried
flânais	strolled
malgré	despite
présage	omen
j'avais	I had
eu	had
avéré	proven
justement	precisely
aperçu	overview
prêtait	lent
d'attention	attention
trouvaient	were
côté	side
droit	right
tapisserie	tapestry
trolls	trolls
dansants	dancing
gauche	left
mur	wall
pierre	stone
impénétrable	impenetrable
cachait…	hid...
"professeur	"professor
étiez-vous	were you
train	train
d'essayer	try
présages	omens
acceptés	accepted
gracieusement	gracefully
regarda	looked at
soudain	suddenly
répéta	repeated
"avez-vous	"have you
d'y	there
entrer	enter
"je…	"I...
bon…	good...
étudiants	students
connaissaient…"	knew..."
"pas	"not
vous	you
avez	have
crié…	shouted...
donnait	gave
l'impression	printing
aviez	had
blessé…	injured...
"je…bon	"I...good
secouant	shaking
autour	around
méfiante	suspicious
fixant	fixing
yeux	eyes
énormément	a lot
grossis	inflated
souhaitai…	souhaitai...
ah…	ah...
déposer	file
certaines…	some...
heu…	uh...
affaires	business
personnelles	personal
murmura	whispered
"d'accusations	"charges
méchantes	nasty
"d'accord"	"okay"
jeter	throw
coup	blow
d'œil	eye
n'avez	do
pu	could
cacher	hide
trouva	found
étrange	strange
ouverte	open
voulu	wanted
regardant	looking at
là	there
dedans	in
"quelqu'un	"someone
dans…	in...
"qui	"
l'intérieur	inside
n'en	do
idée	idea
désola	désola
air	air
déconcerté	baffled
inquiéta	worry
rentrais	came home
entendu	heard
voix	voice
produite	produced
durant	during
années	years
cachée…	hidden...
utilisé	used
"une	"a
disait-elle	she said
disait	said
elle…	it...
hurlait	screaming
"hurlait	"screaming
"allègrement	"blithely
confirma-t-elle	confirmed-she
inclinant	tilting
vois	see
d'homme	man
femme	woman
dirais	would say
"très	"very
renifla	sniffed
"comme	"as
célébrait	celebrated
"certainement	"certainly
crier	shout
"vous	"you
pouvez	can
interrogea	asked
frustré	frustrated
"mon	"my
œil	eye
intérieur	inside
dignité	dignity
redressant	straightening
scintillantes	sparkling
"était	"was
fixe	fixed
sujets	topics
dehors	outside
hurlements	howling
royaume	kingdom
terrestre	land
hâtivement	hastily
l'œil	the eye
souvent	often
auparavant	previously
noir	black
suivante	following
sue	sue
j'étais	I was
éjecté	ejected
l'avez	have
vu	seen
venir	come
incapable	unable
d'imaginer	imagine
'non	'not
l'ai	I
noir…"	black..."
soupçonneux	suspicious
pense	think
feriez	would
doit	must
savoir	know
malefoy…	malfoy...
À	To
grande	great
surprise	surprise
suggestion	suggestion
l'air	the air
hautain	haughty
"le	"
directeur	director
suggéré	suggested
préférerait	would prefer
recevoir	receive
moins	less
visites	visits
part	share
dit-elle	she said
froidement	coldly
ceux	those
imposent	needed
compagnie	company
l'apprécient	appreciate it
choisit	chooses
d'ignorer	to ignore
avertissements	warnings
cartes	cards
indiquent…	indicate...
osseuse	bone
refermée	closed
poignet	wrist
reprises	times
quelle	what
étale…"	spread it..."
tira	drew
carte	card
"…	"...
tour	tour
frappée	hit
foudre	lightning
chuchota-t-elle	she whispered
"calamité	"calamity
désastre	disaster
presque	almost
l'heure…	the time...
redit	redit
"bon…	"good...
toujours	always
devriez	should
l'obscurité	the dark
qu'on	we
jeté	cast
salle…	room...
examiner	review
question	question
appréciait	appreciated
l'idée	the idea
répéter	repeat
petite	small
aventure	adventure
immédiatement	immediately
"j'ai	"I
réunion	meeting
pourrions	could
aller	go
cas…"	case..."
sourire	smile
souleva	raised
vida	vida
cérémonie	ceremony
vase	vase
bleu	blue
blanc	white
tenant	taking into
proximité	close
manques	gaps
classe	class
continua-t-elle	continued-t-it
s'éloignaient	go
voyais	saw
chose…	thing...
étais	was
merveilleux…"	wonderful..."
répondit	replied
détesté	hated
l'objet	the object
